Data_File_,site,latitude,longitude,featureID
223,6679,41.74753,-73.11851,7713568
225,6627,41.76089,-73.40412,7712504
226,6667,41.76202,-73.13692,7713562
227,6681,41.76574,-73.14901,7713562
228,6665,41.75391,-73.12562,7713562
229,6633,41.75623,-73.39874,7712504
230,6662,41.76519,-73.14874,7713562
232,6678,41.74698,-73.11714,7713568
240,6682,41.75953,-73.40333,7712504
243,6661,41.75235,-73.12293,7713562
246,6596,41.74571,-73.12621,7713560
247,6655,41.75024,-73.12104,7713562
251,2636,41.3695,-72.2002,166171720
256,2346,41.2931,-73.3678,7731693
258,923,41.4259,-72.90558,6177104
259,2711,41.78067,-72.963,6109765
262,2309,41.94587,-73.31997,7711980
263,2760,41.95986,-72.29943,6162375
265,2342,41.9267,-73.2799,7711966
270,2758,41.99337,-72.2695,6162323
271,554,41.15279,-73.30599,7733309
272,469,41.79706,-72.1716,6162583
275,54,41.79773,-73.11583,7713532
277,359,41.93717,-72.82146,6109107
283,1916,41.76814,-72.84966,6109255
456,5996,41.72391,-73.48539,7712578
468,155,41.40581,-73.09263,7717052
1,WB_JIMMY,42.434842,-72.670664,6780769
2,WB_MITCHELL,42.433436,-72.66805,6780791
3,WB_OBEAR,42.434453,-72.671747,6780769
4,WEST_BROOK,42.43145,-72.66375,6780791
5,SEC_6_DL,42.432447,-72.665536,6780791
6,SEC_30_DL,42.434833,-72.670633,6780769
7,SEC_45_DL,42.434889,-72.673708,6780771
1,2439254,42.5093,-72.82327,6093493
2,2439253,42.46352,-72.88958,6096009
3,2439182,42.38028,-72.97833,6096101
4,2439181,42.38944,-73.01528,6098683
5,2439180,42.35889,-72.84,6096149
6,2439173,42.59944,-73.04306,6094075
7,2439171,42.34806,-72.84333,6096149
8,2439162,42.43611,-72.93,6096039
9,2439153,42.50207,-72.89612,6093501
10,2439151,42.57056,-73.0325,6094075
11,2439146,42.30528,-72.95778,6096263
12,2439145,42.48667,-72.82667,6095975
13,2439083,42.26167,-72.95722,6096263
14,2439076,42.20583,-72.92917,6096347
15,2439067,42.17667,-72.94528,6096383
16,2439255,42.97889,-72.78833,10103712
17,2439249,43.24306,-72.89472,10102258
18,2439192,42.99944,-72.85806,10103654
19,2439160,43.19139,-72.9425,10102836
20,2439157,43.03583,-72.73972,10102898
21,2439152,43.00806,-72.71722,10102716
22,2432683,43.1241,-72.972,10102560
23,2432657,42.9147,-72.61593,10103788
24,2432678,42.91783,-72.67335,10103780
25,2389763,43.31793,-72.87801,10102764
26,2432688,43.05073,-72.66576,10102900
27,2432704,43.3407,-72.83324,10102052
28,2432679,42.98861,-72.62721,10103666
