Data_File	Data_File_Loc	Site	Latitude	Longitude	Nash	RMSE	Mu	Alpha	Theta	Beta	Drainage_Area_Km2	Mean_Elevation_m	Mean_Slope_P	Mean_Aspect	BFI_P	P_Clay	P_Sand	P_Silt	Biomass_tons	Stem_Count	UrbanKm2	AgroKm2	SwampsKm2	GrassKm2	PeatlandKm2	RockKm2	DeciduousKm2	OakPineKm2	BorealKm2	OpenWaterKm2	aug_mean_air_degC	aug_max_air_degC	aug_mean_precip_mm	feb_mean_air_degC	feb_max_air_degC	feb_mean_precip_mm
MAFW_1yr	17	Mudd65	42.09173	-71.52194	0.939	1.612	8.58E-06	19.72943	0.7508884	10.64499	16.4439	109.2877	5.832894	104.58432	54.72792	4.953301	56.18725	38.85944	79755.91	76235	2.2816338	2.60175553	1.4655787	0	0	0	0.46170752	9.6194034	0	0.034225784	21.15233	27.09467	99.138	-1.711333	3.794	89.734
MAFW_1yr	18	Emer60	42.04581	-71.6412	0.921	2.335	3.14E-03	25.98383	0.8680986	11.514318	15.7095	144.9644	6.21905	77.01008	53.02812	4.924369	56.12754	38.94809	98334.31	91538	1.2373217	0.29585721	1.5082332	0	0	0.049295345	0.04333563	12.3873498	0	0.204758731	21.01406	26.595	98.4625	-1.83125	3.445625	89.0475
MAFW_1yr	19	Emer75	42.04608	-71.6134	0.92	2.101	2.77E-05	24.74519	0.7927116	11.578142	20.0853	138.6439	6.386982	90.31676	53.15981	4.619685	58.01827	37.36205	93158.81	110704	2.181	0.8788023	1.694772	0	0	0.04929535	0.1625299	14.93581	0	0.2047587	20.88741	26.54535	95.40567	-2.306106	3.0495122	87.48878
MAFW_1yr	20	Laur65	42.04025	-71.65357	0.935	1.885	1.00E-05	23.39083	0.8048394	10.883215	6.4431	157.2557	5.524728	61.50618	52.99386	4.992	55.70786	39.30014	99858.33	39724	0.7253823	0.09637708	0.6140208	0	0	0.009194987	0	4.9103783	0	0.094929723	20.936	26.39	98.8	-1.89	3.28	89.252
MAFW_3yr	1	MARoar55	42.23056	-72.85739	0.95	1.498	1.99E-05	19.82137	0.7653801	12.1238	16.5762	276.9742	15.223081	254.936889	44.09855	5.932765	43.48008	50.58716	130157.17	139438	0.84559822	1.09096814	0.18900806	0	0	0.033714951	14.12069	0.294665267	0	0	19.7125	26.1125	100.9825	-3.998125	1.736875	84.59437
MAFW_3yr	2	MAPark55	42.37944	-72.02992	0.939	1.706	5.45E-01	24.02443	0.7667101	12.09417	9.1323	273.1629	7.229468	46.359252	52.44004	5.533374	51.57561	42.89102	95573.97	51349	0.55510475	0.17513044	0.91966894	0	0.03788675	0.00136222	7.419503	0.02000761	0	0.00962068	19.83438	25.8325	92.4625	-3.756875	1.87	80.85
MAFW_3yr	3	MAWarr55	42.18912	-71.62604	0.937	1.662	1.37E-02	20.16683	0.754361	11.354239	11.5236	144.0274	8.193746	148.498295	54.44837	6.407068	45.9417	47.65123	102105.52	73064	0.81043591	0.26725058	0.74275059	0	0.09714333	0	3.569613	6.048939006	0	0	21.06045	26.80273	96.14182	-2.141364	3.2827273	88.72
MAFW_3yr	4	MACold55	42.07216	-71.65574	0.915	1.556	5.19E-01	16.78933	0.6498869	8.561985	3.3966	135.2412	6.36097	38.867851	53	5.033578	55.42145	39.54497	84438.52	16959	0.54114199	0.32795452	0.03524745	0	0	0.024775381	0	2.47021614	0	0	21.01333	26.74	97.45333	-1.843333	3.56	88.46333
MAFW_3yr	5	MAMayn55	42.33106	-72.05052	0.948	1.785	2.72E-05	22.37808	0.8870966	11.144328	5.112	293.5069	7.428654	103.368502	52.76821	5.964802	48.7936	45.2416	103877.31	34062	0.25992865	0.45949392	1.06908748	0	0	0	2.862706	0.458387113	0	0.004767771	20.07583	25.41333	94.8	-3.433333	1.5783333	82.285
MAFW_3yr	9	MAHogH55	42.59251	-72.76092	0.938	1.626	1.29E-04	19.46681	0.740013	10.099844	1.7073	336.0592	17.894245	347.626401	46.63378	5.742543	41.02534	53.23212	141985.28	17155	0.06129991	0.0465709	0.01268568	0	0	0	1.527389	0.059171442	0	0	18.995	25.43333	97.11	-4.835	0.95	86.21667
