year,month,day,precip,tmax,tmin,wind,Date
1949,4,16,0.5,12.26,2.7,5.95,16-4-1949
1949,4,17,0,9.84,-1.05,8.53,17-4-1949
1949,4,18,20.95,8.67,-2.23,5.64,18-4-1949
1949,4,19,8.73,9.72,-0.82,3.94,19-4-1949
1949,4,20,0,12.78,-1.61,6.59,20-4-1949
1949,4,21,0,20.93,0.7,7.71,21-4-1949
1949,4,22,4.6,23.29,3.77,6.76,22-4-1949
1949,4,23,4.2,20.78,7.33,6.53,23-4-1949
1949,4,24,0,15.35,3.91,6.74,24-4-1949
1949,4,25,0.55,14.65,-2.5,6.8,25-4-1949
1949,4,26,0.93,18.78,0.79,9.25,26-4-1949
1949,4,27,1.23,21.16,6.07,5.22,27-4-1949
1949,4,28,0.3,16.4,3.04,6.61,28-4-1949
1949,4,29,0.22,14.06,-3.07,1.98,29-4-1949
1949,4,30,0,22.35,3.54,6.47,30-4-1949
1949,5,1,0.68,25.11,5.9,5.32,1-5-1949
1949,5,2,8.98,22.27,12.24,8.11,2-5-1949
1949,5,3,12.8,22.26,11.61,5.52,3-5-1949
1949,5,4,0.12,26.92,5.43,2.13,4-5-1949
1949,5,5,1.25,31.48,9.28,6.9,5-5-1949
1949,5,6,0.05,25.69,12.4,3.95,6-5-1949
1949,5,7,0,22.77,10.29,3.83,7-5-1949
1949,5,8,0,21.09,2,4.09,8-5-1949
1949,5,9,0.2,24.95,5.21,1.05,9-5-1949
1949,5,10,0.62,21.44,6.17,2.9,10-5-1949
1949,5,11,0,16.85,2.25,10.23,11-5-1949
1949,5,12,0,14.77,0.17,9.48,12-5-1949
1949,5,13,0,18.28,0.61,4.63,13-5-1949
1949,5,14,0,22.12,4.23,4,14-5-1949
1949,5,15,0,21.23,4.99,3.61,15-5-1949
1949,5,16,0,20.53,3.1,3.21,16-5-1949
1949,5,17,0,26.25,6.33,1.64,17-5-1949
1949,5,18,1.77,29.57,8.87,6.09,18-5-1949
1949,5,19,10.5,31.03,13.2,9.1,19-5-1949
1949,5,20,18.98,19.94,6.16,3.32,20-5-1949
1949,5,21,2.22,17.33,1.67,7.6,21-5-1949
1949,5,22,10.9,15.79,5.94,7.21,22-5-1949
1949,5,23,3.83,20.29,8.88,7.95,23-5-1949
1949,5,24,13.82,24.13,8.21,4.32,24-5-1949
1949,5,25,3.12,19.38,8.4,4.26,25-5-1949
1949,5,26,2.67,16.46,2.02,1.99,26-5-1949
1949,5,27,2.45,16.91,5.52,3.9,27-5-1949
1949,5,28,1.65,15.08,5.35,5.63,28-5-1949
1949,5,29,0.08,14.84,4.09,5.89,29-5-1949
1949,5,30,0.65,15.26,1.41,6.31,30-5-1949
1949,5,31,0.12,19.71,4.08,3.53,31-5-1949
1949,6,1,0,23.74,4.82,2.79,1-6-1949
1949,6,2,0,26.04,7.16,1.72,2-6-1949
1949,6,3,0,26.72,6.64,3.02,3-6-1949
1949,6,4,0,29.15,8.24,4.19,4-6-1949
